"nombre_cliente";"gender"
"Michael";"Transexual male"
"Greg";"F2M"
"Dallas";"Cisgender female"
"Terry";"Intersex man"
"Lorenzo";"Androgyne"
"Arlene";"Androgyne"
"Levi";"Demiflux"
"Kay";"Intersex woman"
"Jody";"MTF"
"Grant";"Androgyne"
"Gordon";"Two* person"
"Juanita";"Transexual man"
"Tina";"Gender nonconforming"
"Gregg";"Neutrois"
"Dawn";"Transgender female"
"Robyn";"Male to female transsexual woman"
"Colin";"Trans male"
"Pearl";"Female to male transgender man"
"Stephen";"Male to female transgender woman"
"Rolando";"Transgender person"
"Casey";"Transexual"
"Dawn";"Transgender person"
"Edmond";"Pangender"
"Elbert";"F2M"
"Kay";"F2M"
"Stanley";"Gender variant"
"Lela";"Female to male transgender man"
"Deborah";"Cis female"
"Vincent";"T* man"
"Lorraine";"Transexual male"
"Lorena";"Cisgender male"
"Evan";"Gender variant"
"Walter";"Omnigender"
"Yvette";"M2F"
"Roberto";"Cis female"
"Lucia";"Male to female trans woman"
"Alberta";"Demi-girl"
"Faye";"F2M"
"Earl";"Cisgender man"
"Elizabeth";"Cisgender woman"
"Wilbert";"Male to female trans woman"
"Margaret";"Other"
"Leroy";"Transexual person"
"Jermaine";"Demi-woman"
"Geraldine";"Cis woman"
"Kelly";"Demiflux"
"Wilma";"Transexual man"
"Tom";"Female to male transsexual man"
"Marlene";"Gender neutral"
"Cameron";"Trans person"
"Elvira";"F2M"
"Brandi";"Woman"
"Adrian";"Cis"
"Patty";"Demi-man"
"Lena";"Demiflux"
"Gretchen";"Two-spirit"
"Sophie";"Intersex man"
"Clark";"Trans person"
"Santiago";"Two-spirit"
"Edwin";"Gender variant"
"Christy";"Genderqueer"
"Marlon";"Demi-man"
"Mitchell";"Transexual woman"
"Kimberly";"FTM"
"Brooke";"Male to female transsexual woman"
"Hector";"Bigender"
"Sylvia";"Pangender"
"Oliver";"Gender questioning"
"Leroy";"Cis male"
"Marlon";"Cis female"
"Marian";"Gender fluid"
"Carl";"Genderflux"
"Erik";"Gender questioning"
"Ryan";"Cisgender male"
"Jean";"Cis female"
"Frederick";"Two-spirit"
"Mario";"Cis woman"
"Ann";"Transexual man"
"Jerald";"Gender fluid"
"Roger";"MTF"
"Tyler";"Androgynous"
"Eileen";"Androgyne"
"Joann";"Neutrois"
"Mathew";"FTM"
"Gary";"F2M"
"Jeannette";"Transexual female"
"Carlos";"Female to male transgender man"
"Casey";"Transexual female"
"Benny";"Cisgender female"
"Mario";"Cis male"
"Rogelio";"Non-binary"
"Tommie";"Female to male"
"Ann";"Demigender"
"Sonia";"Gender neutral"
"Herbert";"Trans woman"
"Audrey";"Trans woman"
"Miriam";"Male to female"
"Earnest";"Gender fluid"
"Marcos";"Intersex man"
"Pete";"Two* person"
"Ted";"Cisgender woman"
"Virgil";"Cis male"
"Henry";"Gender variant"
"Vernon";"Trans woman"
"Luz";"Gender nonconforming"
"Adrian";"Polygender"
